paper_id,doi,source,provider,pdf_url,license,status,reason,http_status,bytes,elapsed_s
https:__doi.org_10.1158_1078-0432.ccr-18-0409,https://doi.org/10.1158/1078-0432.ccr-18-0409,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1001_jamanetworkopen.2020.22874,https://doi.org/10.1001/jamanetworkopen.2020.22874,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1158_2159-8290.cd-20-1647,https://doi.org/10.1158/2159-8290.cd-20-1647,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1016_j.ccell.2022.01.012,https://doi.org/10.1016/j.ccell.2022.01.012,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1093_bioinformatics_btz210,https://doi.org/10.1093/bioinformatics/btz210,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1007_s12094-019-02276-8,https://doi.org/10.1007/s12094-019-02276-8,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1038_s41568-020-0275-9,https://doi.org/10.1038/s41568-020-0275-9,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.21037_tlcr.2018.05.13,https://doi.org/10.21037/tlcr.2018.05.13,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1038_s41416-021-01498-4,https://doi.org/10.1038/s41416-021-01498-4,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1111_his.13975,https://doi.org/10.1111/his.13975,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1111_1759-7714.13542,https://doi.org/10.1111/1759-7714.13542,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1021_acschembio.7b01025,https://doi.org/10.1021/acschembio.7b01025,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1016_j.prnil.2020.09.001,https://doi.org/10.1016/j.prnil.2020.09.001,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1177_0306312719858404,https://doi.org/10.1177/0306312719858404,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1200_jco.2017.76.8671,https://doi.org/10.1200/jco.2017.76.8671,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1186_s12943-022-01543-7,https://doi.org/10.1186/s12943-022-01543-7,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1007_s40273-022-01181-3,https://doi.org/10.1007/s40273-022-01181-3,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1158_1078-0432.ccr-24-1098,https://doi.org/10.1158/1078-0432.ccr-24-1098,openalex,,,,skipped,no_pdf_url,,0,0.0
https:__doi.org_10.1038_s41598-018-27214-6,https://doi.org/10.1038/s41598-018-27214-6,openalex,,,,skipped,no_pdf_url,,0,0.0
